Ngày đặt hàng,Mã đơn hàng,Barcode,Tên sản phẩm,Tên phân loại hàng,Số lượng,Giá bán thực,Người Mua,Phương thức thanh toán,Tỉnh/Thành phố,Hủy bởi,Hủy với lý do,Trạng thái Trả hàng/Hoàn tiền,Thời gian hoàn thành đơn hàng
26/12/2021,21122666A0U7CJ,VOTHF-2,VỚ ĐÁ BÓNG THF,Đen trơn,1,0,fhr2wfyawe,Tài khoản ngân hàng đã liên kết Ví ShopeePay,Hà Nội,,,,01/01/2022
26/12/2021,21122666A0U7CJ,Baloden,BALO THF - CAM ĐEN / XÁM VÀNG /XANH ĐEN,Màu đen,1,0,fhr2wfyawe,Tài khoản ngân hàng đã liên kết Ví ShopeePay,Hà Nội,,,,01/01/2022
27/12/2021,21122784HC8X7D,4550233511843,MIZUNO MORELIA II CLUB AS TF - P1GD201600 - ĐEN,42.5,1,1380000,anhkhoabp01,Thanh toán khi nhận hàng,Bình Phước,,,,29/12/2021
27/12/2021,2112278VJHG4DP,2000000002132,KAMITO CỎ NHÂN TẠO TA11-AS - F21004 - ĐEN/VÀNG,39,1,690000,nh0kpjpr0,Thanh toán khi nhận hàng,Long An,Hủy bởi người mua,Muốn thay đổi địa chỉ giao hàng,,
27/12/2021,2112278VQHY3TH,2000000002132,KAMITO CỎ NHÂN TẠO TA11-AS - F21004 - ĐEN/VÀNG,39,1,690000,nh0kpjpr0,Thanh toán khi nhận hàng,Long An,Hủy bởi người mua,Lý do khác,,
28/12/2021,211228AACJXPT2,4064047326796,ADIDAS X SPEEDFLOW MESSI.3 TF - FY6896 - TÍM/ĐEN,42 2/3,1,1750000,naixucc,Thanh toán khi nhận hàng,Kiên Giang,Hủy bởi người mua,Đổi ý không muốn mua nữa,,
28/12/2021,211228ABCRQGDK,4064047326796,ADIDAS X SPEEDFLOW MESSI.3 TF - FY6896 - TÍM/ĐEN,42 2/3,1,1750000,naixucc,Thanh toán khi nhận hàng,Kiên Giang,Hủy bởi người mua,Muốn nhập/thay đổi mã Voucher,,
28/12/2021,211228ABEN5J9W,4064047326796,ADIDAS X SPEEDFLOW MESSI.3 TF - FY6896 - TÍM/ĐEN,42 2/3,1,1750000,naixucc,Thanh toán khi nhận hàng,Kiên Giang,Hủy bởi người mua,Muốn nhập/thay đổi mã Voucher,,
28/12/2021,211228AD0429DT,4573103657861,VỚ DÀI ACTIVITAL FOOT SUPPORTER DOUBLE XX - GSM05-WH - TRẮNG (BẢN CẢI TIẾN),L [27CM-29cm],1,420000,dogblood,Tài khoản ngân hàng đã liên kết Ví ShopeePay,Hải Phòng,,,,30/12/2021
28/12/2021,211228BHXANQ0S,4064047326796,ADIDAS X SPEEDFLOW MESSI.3 TF - FY6896 - TÍM/ĐEN,42 2/3,1,1750000,naixucc,Thanh toán khi nhận hàng,Kiên Giang,,,,02/01/2022
29/12/2021,211229BYYE6R8G,4589527202907,VỚ NGẮN ACTIVITAL FOOT SUPPORTER CLASSIC – GSM01-WH - TRẮNG,S-M [22.5cm-25.5cm],1,310000,ufhz2o_9gd,Thanh toán khi nhận hàng,Bà Rịa - Vũng Tàu,,,,03/01/2022
29/12/2021,211229DDJ13MEU,194956610465,NIKE MERCURIAL VAPOR 14 ACADEMY TF IMPULSE - CV0978-403 - XANH NGỌC,43,1,1890000,vinhatduy,Thanh toán khi nhận hàng,Nghệ An,Hủy bởi người mua,Lý do khác,,
30/12/2021,211231GWVJCAAX,VOTHF-4,VỚ ĐÁ BÓNG THF,Đen viền trắng,1,30000,hoangdao0910,Thẻ Tín dụng/Ghi nợ,TP. Hồ Chí Minh,Hủy bởi người mua,Lý do khác,,
30/12/2021,211231GWVJCAAX,Baloden,BALO THF - CAM ĐEN / XÁM VÀNG /XANH ĐEN,Màu đen,1,90000,hoangdao0910,Thẻ Tín dụng/Ghi nợ,TP. Hồ Chí Minh,Hủy bởi người mua,Lý do khác,,
30/12/2021,211231GX6KX05Q,VOTHF-4,VỚ ĐÁ BÓNG THF,Đen viền trắng,1,30000,hoangdao0910,Thẻ Tín dụng/Ghi nợ,TP. Hồ Chí Minh,,,,02/01/2022
30/12/2021,211231GX6KX05Q,Baloden,BALO THF - CAM ĐEN / XÁM VÀNG /XANH ĐEN,Màu đen,1,90000,hoangdao0910,Thẻ Tín dụng/Ghi nợ,TP. Hồ Chí Minh,,,,02/01/2022
31/12/2021,211231J47UKT9U,195237070558,NIKE MERCURIAL VAPOR 14 ACADEMY TF - CV0978-760 - VÀNG NEON,40.5,1,1890000,quangvinh2738,Thẻ Tín dụng/Ghi nợ,Bắc Ninh,,,,08/01/2022
31/12/2021,211231J8NATKSR,4589527202907,VỚ NGẮN ACTIVITAL FOOT SUPPORTER CLASSIC – GSM01-WH - TRẮNG,S-M [22.5cm-25.5cm],1,310000,thanhtu100885,Thanh toán khi nhận hàng,Quảng Trị,Tự động hủy bởi hệ thống Shopee,Người Bán không xử lý đơn hàng đúng hạn,,
